,I,I,I,I,I,I,II,II,II,II,III,III,III,III,III,III,IV,IV,IV,IV,IV,IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A,B,C,D,F,G,AC,BG,DF,G,A,B,C,D,F,G,A,B,C,D,F,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Polski,6,4,6,4,4,4,6,4,4,4,4,4,6,4,4,4,4,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jp1,,4,,,,,6,4,,4,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jp2,,,,,,4,,,,,,4,,4,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jp3,,,6,,,,,,,,,,6,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jp4,,,,4,4,,,,,,,,,,,4,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jp5,6,,,,,,,,4,,4,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.Angielski,12,8,6,6,6,8,6,10,3,5,12,10,6,6,6,10,10,8,6,6,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja1,,4,6,,,,3,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja2,,,,,,,,5,,,6,,,3,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja3,6,,,,,,,,,5,,,,,,,5,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja4,,4,,3,,,,,,,,,3,,3,5,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja5,6,,,,,,,,,,,5,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja6,,,,,3,,,,,,,,,,,5,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja7,,,,,,,3,5,,,6,,3,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja8,,,,,,4,,,3,,,,,3,,,,4,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja9,,,,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Historia,2,2,3,2,2,2,3,2,2,2,2,2,4,2,2,2,1,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hist1,,,,,,2,3,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hist2,,,3,,,,,,,2,2,,4,,2,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hist3,2,2,,2,2,,,2,2,,,,,2,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hist4,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOS,,,1,,,,2,,,,3,,3,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOS1,,,,,,,,,,,3,,3,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
